job_id,source_job_id,knowledge_name,score,irrelevant
JT0001,1,ビジネスと経営,0.556,0
JT0001,1,事務処理,0.63,0
JT0001,1,経済学・会計学,0.481,0
JT0001,1,販売・マーケティング,0.556,0
JT0001,1,顧客サービス・対人サービス,0.852,0
JT0001,1,人事労務管理,0.519,0
JT0001,1,輸送,1.074,0
JT0001,1,生産・加工,2.556,0
JT0001,1,農業・畜産業,0.852,0
JT0001,1,工学,0.852,0
JT0001,1,コンピュータと電子工学,0.593,0
JT0001,1,設計,0.63,0
JT0001,1,建築・建設,0.481,0
JT0001,1,機械,0.926,0
JT0001,1,数学,0.741,0
JT0001,1,物理学,0.593,0
JT0001,1,化学,0.667,0
JT0001,1,生物学,0.593,0
JT0001,1,心理学,0.556,0
JT0001,1,社会学,0.556,0
JT0001,1,地理学,0.37,1
JT0001,1,医学・歯学,0.333,1
JT0001,1,セラピーとカウンセリング,0.296,1
JT0001,1,教育訓練,0.593,0
JT0001,1,日本語の語彙・文法,0.815,0
JT0001,1,外国語の語彙・文法,0.556,0
JT0001,1,芸術,0.37,0
JT0001,1,歴史学・考古学,0.259,1
JT0001,1,哲学・宗教学,0.333,1
JT0001,1,公衆安全・危機管理,0.593,0
JT0001,1,法律学、政治学,0.481,0
JT0001,1,通信技術,0.519,0
JT0001,1,コミュニケーションとメディア,0.778,0
JT0002,2,ビジネスと経営,1.063,0
JT0002,2,事務処理,0.813,0
JT0002,2,経済学・会計学,0.708,0
JT0002,2,販売・マーケティング,1.5,0
JT0002,2,顧客サービス・対人サービス,1.792,0
JT0002,2,人事労務管理,1,0
JT0002,2,輸送,0.688,0
JT0002,2,生産・加工,2.813,0
JT0002,2,農業・畜産業,0.625,0
JT0002,2,工学,0.5,1
JT0002,2,コンピュータと電子工学,0.417,1
JT0002,2,設計,0.313,1
JT0002,2,建築・建設,0.313,1
JT0002,2,機械,0.771,0
JT0002,2,数学,0.771,0
JT0002,2,物理学,0.479,1
JT0002,2,化学,0.583,0
JT0002,2,生物学,0.5,1
JT0002,2,心理学,0.708,0
JT0002,2,社会学,0.667,0
JT0002,2,地理学,0.417,1
JT0002,2,医学・歯学,0.396,1
JT0002,2,セラピーとカウンセリング,0.354,1
JT0002,2,教育訓練,0.875,0
JT0002,2,日本語の語彙・文法,0.604,0
JT0002,2,外国語の語彙・文法,0.438,1
JT0002,2,芸術,0.458,1
JT0002,2,歴史学・考古学,0.271,1
JT0002,2,哲学・宗教学,0.313,1
JT0002,2,公衆安全・危機管理,0.583,0
JT0002,2,法律学、政治学,0.396,1
JT0002,2,通信技術,0.333,1
JT0002,2,コミュニケーションとメディア,0.5,0
JT0003,3,ビジネスと経営,1.345,0
JT0003,3,事務処理,1.036,0
JT0003,3,経済学・会計学,0.818,0
JT0003,3,販売・マーケティング,1.691,0
JT0003,3,顧客サービス・対人サービス,1.836,0
JT0003,3,人事労務管理,1.055,0
JT0003,3,輸送,0.855,0
JT0003,3,生産・加工,2.673,0
JT0003,3,農業・畜産業,0.8,0
JT0003,3,工学,0.709,0
JT0003,3,コンピュータと電子工学,0.564,0
JT0003,3,設計,0.418,0
JT0003,3,建築・建設,0.255,1
JT0003,3,機械,0.909,0
JT0003,3,数学,1.018,0
JT0003,3,物理学,0.636,0
JT0003,3,化学,0.764,0
JT0003,3,生物学,0.491,0
JT0003,3,心理学,0.582,0
JT0003,3,社会学,0.745,0
JT0003,3,地理学,0.273,1
JT0003,3,医学・歯学,0.327,1
JT0003,3,セラピーとカウンセリング,0.364,0
JT0003,3,教育訓練,0.818,0
JT0003,3,日本語の語彙・文法,0.818,0
JT0003,3,外国語の語彙・文法,0.564,0
JT0003,3,芸術,0.655,0
JT0003,3,歴史学・考古学,0.255,1
JT0003,3,哲学・宗教学,0.291,1
JT0003,3,公衆安全・危機管理,0.764,0
JT0003,3,法律学、政治学,0.564,0
JT0003,3,通信技術,0.418,0
JT0003,3,コミュニケーションとメディア,0.909,0
JT0004,4,ビジネスと経営,0.932,0
JT0004,4,事務処理,0.841,0
JT0004,4,経済学・会計学,0.705,0
JT0004,4,販売・マーケティング,1.432,0
JT0004,4,顧客サービス・対人サービス,1.477,0
JT0004,4,人事労務管理,0.864,0
JT0004,4,輸送,0.795,0
JT0004,4,生産・加工,2.75,0
JT0004,4,農業・畜産業,0.727,0
JT0004,4,工学,0.659,0
JT0004,4,コンピュータと電子工学,0.545,0
JT0004,4,設計,0.364,1
JT0004,4,建築・建設,0.295,1
JT0004,4,機械,0.795,0
JT0004,4,数学,0.864,0
JT0004,4,物理学,0.295,1
JT0004,4,化学,0.568,0
JT0004,4,生物学,0.341,1
JT0004,4,心理学,0.659,0
JT0004,4,社会学,0.773,0
JT0004,4,地理学,0.273,1
JT0004,4,医学・歯学,0.227,1
JT0004,4,セラピーとカウンセリング,0.295,1
JT0004,4,教育訓練,0.636,0
JT0004,4,日本語の語彙・文法,0.682,0
JT0004,4,外国語の語彙・文法,0.364,0
JT0004,4,芸術,0.523,0
JT0004,4,歴史学・考古学,0.318,0
JT0004,4,哲学・宗教学,0.295,0
JT0004,4,公衆安全・危機管理,0.477,0
JT0004,4,法律学、政治学,0.295,1
JT0004,4,通信技術,0.386,0
JT0004,4,コミュニケーションとメディア,0.591,0
JT0005,5,ビジネスと経営,1.075,0
JT0005,5,事務処理,1.475,0
JT0005,5,経済学・会計学,0.625,0
JT0005,5,販売・マーケティング,0.925,0
JT0005,5,顧客サービス・対人サービス,0.975,0
JT0005,5,人事労務管理,1.05,0
JT0005,5,輸送,1,0
JT0005,5,生産・加工,2.7,0
JT0005,5,農業・畜産業,1.175,0
JT0005,5,工学,1.025,0
JT0005,5,コンピュータと電子工学,0.85,0
JT0005,5,設計,0.425,0
JT0005,5,建築・建設,0.35,1
JT0005,5,機械,1.4,0
JT0005,5,数学,1,0
JT0005,5,物理学,0.75,0
JT0005,5,化学,1.1,0
JT0005,5,生物学,0.975,0
JT0005,5,心理学,0.575,0
JT0005,5,社会学,0.575,0
JT0005,5,地理学,0.3,1
JT0005,5,医学・歯学,0.475,1
JT0005,5,セラピーとカウンセリング,0.425,0
JT0005,5,教育訓練,1.075,0
JT0005,5,日本語の語彙・文法,1.125,0
JT0005,5,外国語の語彙・文法,0.55,0
JT0005,5,芸術,0.25,1
JT0005,5,歴史学・考古学,0.175,1
JT0005,5,哲学・宗教学,0.175,1
JT0005,5,公衆安全・危機管理,1.025,0
JT0005,5,法律学、政治学,0.65,0
JT0005,5,通信技術,0.45,0
JT0005,5,コミュニケーションとメディア,0.725,0
JT0006,6,ビジネスと経営,0.644,1
JT0006,6,事務処理,0.933,0
JT0006,6,経済学・会計学,0.4,1
JT0006,6,販売・マーケティング,0.622,1
JT0006,6,顧客サービス・対人サービス,0.6,0
JT0006,6,人事労務管理,0.511,1
JT0006,6,輸送,0.667,0
JT0006,6,生産・加工,2.289,0
JT0006,6,農業・畜産業,0.4,1
JT0006,6,工学,0.422,1
JT0006,6,コンピュータと電子工学,0.311,1
JT0006,6,設計,0.311,1
JT0006,6,建築・建設,0.133,1
JT0006,6,機械,0.733,0
JT0006,6,数学,0.622,0
JT0006,6,物理学,0.222,1
JT0006,6,化学,0.378,1
JT0006,6,生物学,0.333,1
JT0006,6,心理学,0.578,1
JT0006,6,社会学,0.667,0
JT0006,6,地理学,0.289,1
JT0006,6,医学・歯学,0.178,1
JT0006,6,セラピーとカウンセリング,0.222,1
JT0006,6,教育訓練,0.644,0
JT0006,6,日本語の語彙・文法,0.8,0
JT0006,6,外国語の語彙・文法,0.4,1
JT0006,6,芸術,0.178,1
JT0006,6,歴史学・考古学,0.156,1
JT0006,6,哲学・宗教学,0.311,1
JT0006,6,公衆安全・危機管理,0.578,0
JT0006,6,法律学、政治学,0.356,1
JT0006,6,通信技術,0.311,1
JT0006,6,コミュニケーションとメディア,0.511,1
JT0007,7,ビジネスと経営,0.87,0
JT0007,7,事務処理,0.944,0
JT0007,7,経済学・会計学,0.556,0
JT0007,7,販売・マーケティング,0.889,0
JT0007,7,顧客サービス・対人サービス,0.944,0
JT0007,7,人事労務管理,0.667,0
JT0007,7,輸送,1.148,0
JT0007,7,生産・加工,2.611,0
JT0007,7,農業・畜産業,0.907,0
JT0007,7,工学,0.778,0
JT0007,7,コンピュータと電子工学,0.63,0
JT0007,7,設計,0.481,1
JT0007,7,建築・建設,0.333,1
JT0007,7,機械,0.926,0
JT0007,7,数学,0.815,0
JT0007,7,物理学,0.611,0
JT0007,7,化学,0.685,0
JT0007,7,生物学,0.63,0
JT0007,7,心理学,0.704,0
JT0007,7,社会学,0.63,0
JT0007,7,地理学,0.37,1
JT0007,7,医学・歯学,0.333,1
JT0007,7,セラピーとカウンセリング,0.315,1
JT0007,7,教育訓練,0.741,0
JT0007,7,日本語の語彙・文法,0.722,0
JT0007,7,外国語の語彙・文法,0.481,0
JT0007,7,芸術,0.259,1
JT0007,7,歴史学・考古学,0.241,1
JT0007,7,哲学・宗教学,0.241,1
JT0007,7,公衆安全・危機管理,0.5,0
JT0007,7,法律学、政治学,0.426,1
JT0007,7,通信技術,0.5,0
JT0007,7,コミュニケーションとメディア,0.778,0
JT0008,8,ビジネスと経営,0.661,0
JT0008,8,事務処理,0.898,0
JT0008,8,経済学・会計学,0.39,0
JT0008,8,販売・マーケティング,1.186,0
JT0008,8,顧客サービス・対人サービス,1.288,0
JT0008,8,人事労務管理,0.661,0
JT0008,8,輸送,0.881,0
JT0008,8,生産・加工,2.271,0
JT0008,8,農業・畜産業,0.712,0
JT0008,8,工学,0.559,0
JT0008,8,コンピュータと電子工学,0.356,1
JT0008,8,設計,0.356,1
JT0008,8,建築・建設,0.288,1
JT0008,8,機械,0.627,0
JT0008,8,数学,0.746,0
JT0008,8,物理学,0.424,1
JT0008,8,化学,0.492,0
JT0008,8,生物学,0.424,0
JT0008,8,心理学,0.593,0
JT0008,8,社会学,0.661,0
JT0008,8,地理学,0.305,1
JT0008,8,医学・歯学,0.322,1
JT0008,8,セラピーとカウンセリング,0.322,1
JT0008,8,教育訓練,0.492,0
JT0008,8,日本語の語彙・文法,0.627,0
JT0008,8,外国語の語彙・文法,0.492,0
JT0008,8,芸術,0.322,1
JT0008,8,歴史学・考古学,0.203,1
JT0008,8,哲学・宗教学,0.22,1
JT0008,8,公衆安全・危機管理,0.61,0
JT0008,8,法律学、政治学,0.356,1
JT0008,8,通信技術,0.339,1
JT0008,8,コミュニケーションとメディア,0.593,0
JT0009,9,ビジネスと経営,1.529,0
JT0009,9,事務処理,1.912,0
JT0009,9,経済学・会計学,1.324,0
JT0009,9,販売・マーケティング,1.765,0
JT0009,9,顧客サービス・対人サービス,1.676,0
JT0009,9,人事労務管理,1.441,0
JT0009,9,輸送,1.5,0
JT0009,9,生産・加工,3.147,0
JT0009,9,農業・畜産業,1.382,0
JT0009,9,工学,1.882,0
JT0009,9,コンピュータと電子工学,1.176,0
JT0009,9,設計,0.971,0
JT0009,9,建築・建設,0.529,0
JT0009,9,機械,1.824,0
JT0009,9,数学,1.618,0
JT0009,9,物理学,1.412,0
JT0009,9,化学,1.794,0
JT0009,9,生物学,1.941,0
JT0009,9,心理学,0.794,0
JT0009,9,社会学,1.118,0
JT0009,9,地理学,0.706,0
JT0009,9,医学・歯学,0.618,0
JT0009,9,セラピーとカウンセリング,0.5,0
JT0009,9,教育訓練,1.235,0
JT0009,9,日本語の語彙・文法,1.176,0
JT0009,9,外国語の語彙・文法,0.941,0
JT0009,9,芸術,0.559,0
JT0009,9,歴史学・考古学,0.676,0
JT0009,9,哲学・宗教学,0.529,0
JT0009,9,公衆安全・危機管理,1.294,0
