row_number,source_tag_id,source_tag_label,target_tag_id,target_tag_label,original_job_name,job_id,official_job_name,weight,reason,route_type,tag_status,job_match_status,review_status,note
2,D001,教育,D006,教育・学び,学校教員,JT0180,中学校教員,1.0,子どもや学生の学びに直接関わるため,classic,mapped,candidate,review,学校教員 is broad; candidate: 中学校教員
3,D001,教育,D006,教育・学び,塾講師,JT0396,学習塾教師,0.9,教科学習や受験支援に関わるため,classic,mapped,mapped,ready,塾講師 -> 学習塾教師
4,D001,教育,D006,教育・学び,教材編集者,JT0211,雑誌編集者,0.8,学びやすい教材作りに関わるため,classic,mapped,candidate,review,fuzzy candidate: 雑誌編集者
5,D001,教育,D006,教育・学び,教育サービス企画,,,0.8,新しい学習体験や仕組みを作るため,classic,mapped,not_found,review,
6,D001,教育,D006,教育・学び,キャリアカウンセラー,JT0136,キャリアカウンセラー/キャリアコンサルタント,0.7,進路や学びの選択を支えるため,classic,mapped,mapped,ready,キャリアカウンセラー -> キャリアカウンセラー/キャリアコンサルタント
7,D001,教育,D006,教育・学び,人材育成担当,,,0.7,社会人の学びや成長支援に関わるため,surprise,mapped,not_found,review,
8,D001,教育,D006,教育・学び,UXリサーチャー,,,0.5,学習者の困りごとを調べて改善に活かせるため,surprise,mapped,not_found,review,
9,D001,教育,D006,教育・学び,ゲームプランナー,JT0330,ゲームクリエーター,0.4,遊びを通じた学習体験に関われるため,surprise,mapped,mapped,ready,ゲームプランナー -> ゲームクリエーター
10,D001,教育,D006,教育・学び,NPO職員,JT0522,NPO法人職員（企画・運営）,0.6,教育格差や学習支援に関わる道があるため,surprise,mapped,mapped,ready,NPO職員 -> NPO法人職員（企画・運営）
11,D001,教育,D006,教育・学び,図書館司書,JT0182,図書館司書,0.6,知識や学びに触れる場を支えるため,classic,mapped,exact,ready,
12,D002,医療,D010,医療・福祉,医師,JT0404,内科医,1.0,病気の診断や治療に直接関わるため,classic,mapped,candidate,review,医師 is broad; candidate: 内科医
13,D002,医療,D010,医療・福祉,看護師,JT0156,看護師,1.0,患者のケアや健康支援に関わるため,classic,mapped,exact,ready,
14,D002,医療,D010,医療・福祉,薬剤師,JT0158,薬剤師,0.9,薬を通じて健康や治療を支えるため,classic,mapped,exact,ready,
15,D002,医療,D010,医療・福祉,理学療法士,JT0167,理学療法士（PT）,0.8,リハビリや身体機能の回復に関わるため,classic,mapped,mapped,ready,理学療法士 -> 理学療法士（PT）
16,D002,医療,D010,医療・福祉,公認心理師,,,0.8,メンタルヘルスの支援に関わるため,classic,mapped,not_found,review,
17,D002,医療,D010,医療・福祉,医療機器営業,JT0462,OA機器営業,0.6,医療現場を製品や情報で支えるため,surprise,mapped,candidate,review,fuzzy candidate: OA機器営業
18,D002,医療,D010,医療・福祉,ヘルスケアアプリ企画,,,0.6,健康管理をデジタルで支えるため,surprise,mapped,not_found,review,
19,D002,医療,D010,医療・福祉,管理栄養士,JT0171,栄養士,0.7,食事や栄養から健康を支えるため,classic,mapped,mapped,ready,管理栄養士 -> 栄養士
20,D002,医療,D010,医療・福祉,医療ソーシャルワーカー,JT0408,医療ソーシャルワーカー,0.7,患者の生活や福祉面を支えるため,classic,mapped,exact,ready,
21,D002,医療,D010,医療・福祉,データアナリスト,JT0323,データサイエンティスト,0.5,医療データから予防や改善に関われるため,surprise,mapped,mapped,ready,データアナリスト -> データサイエンティスト
22,D004,環境,D008,環境・サステナビリティ,環境コンサルタント,JT0081,経営コンサルタント,1.0,環境課題の調査や改善策に関わるため,classic,mapped,candidate,review,fuzzy candidate: 経営コンサルタント
23,D004,環境,D008,環境・サステナビリティ,再生可能エネルギー企画,,,0.9,脱炭素やエネルギー転換に関わるため,classic,mapped,not_found,review,
24,D004,環境,D008,環境・サステナビリティ,自然保護団体職員,,,0.8,森林や海や生き物の保全に関わるため,classic,mapped,not_found,review,
25,D004,環境,D008,環境・サステナビリティ,研究職,,,0.8,環境や生態系の科学的理解に関わるため,classic,mapped,not_found,review,
26,D004,環境,D008,環境・サステナビリティ,行政職員,JT0138,国家公務員（行政事務）,0.7,環境政策や地域の自然保全に関われるため,classic,mapped,candidate,review,行政職員 is broad; candidate: 国家公務員（行政事務）
27,D004,環境,D008,環境・サステナビリティ,サステナビリティ推進担当,,,0.8,企業活動を環境配慮へつなげるため,surprise,mapped,not_found,review,
28,D004,環境,D008,環境・サステナビリティ,商品企画,JT0461,商品企画開発（チェーンストア）,0.5,環境に配慮した商品作りに関われるため,surprise,mapped,candidate,review,商品企画 is broad; candidate: 商品企画開発（チェーンストア）
29,D004,環境,D008,環境・サステナビリティ,林業職,JT0230,林業作業,0.7,森林資源の管理や活用に関わるため,classic,mapped,mapped,ready,林業職 -> 林業作業
30,D004,環境,D008,環境・サステナビリティ,広報・PR,JT0444,広報・PR担当,0.4,環境活動や課題を社会に伝えるため,surprise,mapped,candidate,review,substring candidate: 広報・PR担当
31,D004,環境,D008,環境・サステナビリティ,データサイエンティスト,JT0323,データサイエンティスト,0.5,気候や環境データの分析に関われるため,surprise,mapped,exact,ready,
32,D005,食,D004,食,食品メーカー商品開発,,,1.0,食品や味や食体験の開発に関わるため,classic,mapped,not_found,review,
33,D005,食,D004,食,農業法人スタッフ,,,0.9,作物づくりや農業経営に関わるため,classic,mapped,not_found,review,
