tag_id,job_id,job_name,weight,source,review_status,reviewed_by,notes,route_type
A002,JT0326,Webデザイナー（Web制作会社）,0.85,manual,draft,,作る・制作するとの関連例,
D003,JT0020,建築設計技術者,0.8,manual,draft,,都市・まちづくりとの関連例,
D006,JT0396,学習塾教師,0.9,llm_draft,draft,,教科学習や受験支援に関わるため,classic
D006,JT0136,キャリアカウンセラー/キャリアコンサルタント,0.7,llm_draft,draft,,進路や学びの選択を支えるため,classic
D006,JT0330,ゲームクリエーター,0.4,llm_draft,draft,,遊びを通じた学習体験に関われるため,surprise
D006,JT0522,NPO法人職員（企画・運営）,0.6,llm_draft,draft,,教育格差や学習支援に関わる道があるため,surprise
D006,JT0182,図書館司書,0.6,llm_draft,draft,,知識や学びに触れる場を支えるため,classic
D010,JT0156,看護師,1.0,llm_draft,draft,,患者のケアや健康支援に関わるため,classic
D010,JT0158,薬剤師,0.9,llm_draft,draft,,薬を通じて健康や治療を支えるため,classic
D010,JT0167,理学療法士（PT）,0.8,llm_draft,draft,,リハビリや身体機能の回復に関わるため,classic
D010,JT0171,栄養士,0.7,llm_draft,draft,,食事や栄養から健康を支えるため,classic
D010,JT0408,医療ソーシャルワーカー,0.7,llm_draft,draft,,患者の生活や福祉面を支えるため,classic
D010,JT0323,データサイエンティスト,0.5,llm_draft,draft,,医療データから予防や改善に関われるため,surprise
D008,JT0230,林業作業,0.7,llm_draft,draft,,森林資源の管理や活用に関わるため,classic
D008,JT0323,データサイエンティスト,0.5,llm_draft,draft,,気候や環境データの分析に関われるため,surprise
D004,JT0171,栄養士,0.8,llm_draft,draft,,食と健康をつなぐ仕事に関わるため,classic
D007,JT0316,ソフトウェア開発（パッケージソフト）,1.0,llm_draft,draft,,アプリやシステムの開発に直接関わるため,classic
D007,JT0325,AIエンジニア,1.0,llm_draft,draft,,AIモデルや活用システムを作るため,classic
D007,JT0323,データサイエンティスト,0.9,llm_draft,draft,,データ分析から意思決定を支えるため,classic
D007,JT0362,ITコンサルタント,0.8,llm_draft,draft,,企業や社会のデジタル化を支援するため,classic
D007,JT0552,UX/UIデザイナー,0.7,llm_draft,draft,,使いやすいデジタル体験を設計するため,surprise
D007,JT0321,セキュリティエキスパート（オペレーション）,0.7,llm_draft,draft,,情報やシステムを守る仕事に関わるため,classic
D002,JT0331,アートディレクター,0.7,llm_draft,draft,,表現の方向性や見え方を作るため,classic
D002,JT0323,データサイエンティスト,0.4,llm_draft,draft,,反応や視聴データから表現改善に関われるため,surprise
D005,JT0167,理学療法士（PT）,0.7,llm_draft,draft,,ケガの回復や身体機能の改善に関わるため,classic
D005,JT0323,データサイエンティスト,0.5,llm_draft,draft,,競技データや健康データの分析に関われるため,surprise
D005,JT0171,栄養士,0.6,llm_draft,draft,,食事面からパフォーマンスや健康を支えるため,classic
D009,JT0340,ファッションデザイナー,1.0,llm_draft,draft,,服やスタイルの企画制作に関わるため,classic
D009,JT0116,美容師,0.8,llm_draft,draft,,髪型や見た目の表現を支えるため,classic
D009,JT0346,スタイリスト,0.8,llm_draft,draft,,服や小物で印象や世界観を作るため,classic
D001,JT0330,ゲームクリエーター,1.0,llm_draft,draft,,ゲームの仕組みや体験を考えるため,classic
D001,JT0343,アニメーター,0.9,llm_draft,draft,,アニメ表現の制作に関わるため,classic
D001,JT0323,データサイエンティスト,0.5,llm_draft,draft,,視聴やプレイデータから改善に関われるため,surprise
D010,JT0134,施設介護員,1.0,llm_draft,draft,,高齢者の日常生活を直接支えるため,classic
D010,JT0132,介護支援専門員/ケアマネジャー,0.9,llm_draft,draft,,介護サービスの計画や調整に関わるため,classic
D010,JT0137,福祉用具専門相談員,0.7,llm_draft,draft,,暮らしやすい道具選びを支えるため,classic
