job_id,source_job_id,job_name,description_short
JT0001,1,豆腐製造、豆腐職人,豆腐店やメーカーの工場で、豆腐、油揚げ、生揚げ（厚揚げ）などを作る。
JT0002,2,パン製造、パン職人,製パン工場や個人経営店（ホームベーカリー）でパンを製造する。
JT0003,3,洋菓子製造、パティシエ,洋菓子店や菓子工場で洋菓子を製造する。
JT0004,4,和菓子製造、和菓子職人,和菓子店で各種の和菓子を製造する。
JT0005,5,乳製品製造,牛乳、ヨーグルト、バター、チーズなどの乳製品を製造する。
JT0006,6,水産ねり製品製造,かまぼこやちくわ等の水産ねり製品を製造する。
JT0007,7,冷凍加工食品製造,冷凍加工食品の製造工場で、冷凍加工食品を製造する。
JT0008,8,惣菜製造,百貨店やスーパーマーケット、コンビニエンスストアなどで販売する各種惣菜を製造す…
JT0009,9,清酒製造,酒蔵（酒造工場）で清酒づくりに従事する。
JT0010,10,みそ製造,米や麦などから麹（こうじ）をつくり、蒸した大豆に麹と塩を混ぜて発酵させ、さまざ…
JT0011,11,しょうゆ製造,しょうゆ（醤油）工場において、しょうゆを製造する。
JT0012,12,ハム・ソーセージ・ベーコン製造,原料肉を分割・整形した後、塩づけ、くん煙などの加工をして、ハム・ソーセージ・ベ…
JT0013,13,ワイン製造,ブドウからワインを醸造する作業に従事する。
JT0014,14,ビール製造,ビール醸造所（ブルワリー）において、ビールの製造に従事する。
JT0015,15,かん詰・びん詰・レトルト食品製造,かん詰食品、びん詰食品、レトルト食品を製造する。
JT0016,16,野菜つけ物製造,野菜を材料にしたつけ物を製造するため、材料の選別、洗浄、カット、漬け込み、塩抜…
JT0017,17,陶磁器製造,茶碗や皿などの食器、タイルや洗面台、トイレの便器などの日用品など、陶磁器製品を…
JT0018,18,ガラス食器製造,毎日の生活で使われるコップや皿などガラス製の食器を成形する。
JT0019,19,プラスチック成形,プラスチックに熱を加えて成形機で成形し、さまざまな製品を作る。
JT0020,20,建築設計技術者,住宅・学校・オフィスビル・工場・ホテルなどの建築物について調査・設計を行う。
JT0021,21,建築施工管理技術者,住宅・学校・オフィスビル・工場などの建築現場において、施工が適正かつ計画どおり…
JT0022,22,土木設計技術者,橋、道路、鉄道、ダム、トンネルなど土木工事を進めるにあたって、調査・計画・設計…
JT0023,23,土木施工管理技術者,橋梁、道路、鉄道、ダムなどの土木工事において、現場での施工（せこう）計画を立案…
JT0024,24,測量士,土木・建築工事にあたり、土地の位置・形状を正確に測量する。
JT0025,25,CADオペレーター,CAD ソフトを操作し、様々な設計図を作成する。
JT0026,26,大工,一般住宅、とりわけ木造住宅の新築や増改築の計画、構造施工の中核的な作業を行う。
JT0027,27,型枠大工,鉄筋コンクリートの鋳型の役割を果たす型枠を作り、工事現場で組み立てる。
